gameid,league,split,game,patch,PlayerID,side,position,player,TeamID,ChampionID,Kills,Deaths,Assists,DoubleKills,TripleKills,QuadraKills,PentaKills,firstblood,FirstBloodKill,FirstBloodAssist,FirstBloodVictim,DamageToChampions,WardsPlaced,WardsKilled,ControlWardsBought,VisionScore,TotalGold,EarnedGold,GoldSpent,total cs,MinionKills,monsterkills,FriendlyMonstersKilled,EnemyMonstersKilled,GoldAtTen,XpAtTen,CsAtTen,GoldAtFifteen,XpAtFifteen,CsAtFifteen
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,26.0,Blue,4.0,Brandini,17,57.0,1,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9561.0,12.0,5.0,4.0,22.0,8847,4987,8785.0,186.0,176.0,10.0,7.0,0.0,3477.0,4438.0,80.0,5080.0,6581.0,117.0
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,22.0,Blue,5.0,Svenskeren,17,63.0,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.0,18.0,9.0,12.0,37.0,8049,4189,8075.0,142.0,23.0,119.0,95.0,0.0,3035.0,3018.0,62.0,4301.0,4654.0,84.0
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,21.0,Blue,3.0,Kumo,17,85.0,3,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8569.0,15.0,4.0,9.0,23.0,10621,6761,10725.0,184.0,182.0,2.0,1.0,0.0,3191.0,4659.0,78.0,5234.0,7343.0,126.0
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,29.0,Blue,1.0,Deftly,17,8.0,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10916.0,9.0,6.0,3.0,17.0,11072,7212,10125.0,264.0,248.0,16.0,12.0,0.0,3092.0,3078.0,81.0,6023.0,5464.0,145.0
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,30.0,Blue,2.0,Matt,17,78.0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2887.0,33.0,6.0,15.0,54.0,5638,1778,5445.0,25.0,25.0,0.0,0.0,0.0,1931.0,2592.0,11.0,2968.0,4133.0,16.0
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,68.0,Red,4.0,Lourlo,14,1.0,2,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10502.0,14.0,5.0,5.0,36.0,10010,6150,9225.0,184.0,166.0,18.0,9.0,4.0,3104.0,4585.0,77.0,4754.0,6838.0,112.0
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,63.0,Red,5.0,Akaadian,14,26.0,2,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7650.0,33.0,14.0,8.0,80.0,9009,5149,7950.0,145.0,20.0,125.0,76.0,4.0,2890.0,3079.0,49.0,4338.0,4770.0,74.0
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,69.0,Red,3.0,Damonte,14,147.0,11,2,12,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,28013.0,17.0,6.0,10.0,39.0,13048,9188,11700.0,234.0,221.0,13.0,13.0,0.0,3948.0,4950.0,88.0,6212.0,8127.0,143.0
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,70.0,Red,1.0,Fenix,14,73.0,12,1,6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20652.0,10.0,9.0,3.0,40.0,13799,9939,12125.0,259.0,227.0,32.0,21.0,4.0,3615.0,3095.0,75.0,5995.0,5949.0,133.0
ESPORTSTMNT02/1260525,LCS.A,2020-1,1,10.01,71.0,Red,2.0,Olleh,14,119.0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3973.0,41.0,13.0,13.0,83.0,7456,3596,6175.0,35.0,35.0,0.0,0.0,0.0,2129.0,2775.0,12.0,3283.0,3917.0,19.0
ESPORTSTMNT02/1270462,LCS.A,2020-1,1,10.01,6.0,Blue,4.0,Fudge,12,85.0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10471.0,17.0,4.0,5.0,30.0,11688,7084,10925.0,275.0,275.0,0.0,0.0,0.0,3040.0,4910.0,80.0,4753.0,7469.0,130.0
ESPORTSTMNT02/1270462,LCS.A,2020-1,1,10.01,7.0,Blue,5.0,Inori,12,93.0,2,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8496.0,6.0,11.0,7.0,52.0,10778,6174,10600.0,177.0,17.0,160.0,112.0,4.0,3016.0,3232.0,64.0,4316.0,4771.0,88.0
ESPORTSTMNT02/1270462,LCS.A,2020-1,1,10.01,8.0,Blue,3.0,Palafox,12,97.0,4,1,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19957.0,16.0,6.0,4.0,43.0,14185,9581,13400.0,286.0,266.0,20.0,16.0,0.0,3273.0,4566.0,89.0,5199.0,7589.0,149.0
ESPORTSTMNT02/1270462,LCS.A,2020-1,1,10.01,9.0,Blue,1.0,K1ng,12,127.0,12,2,5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25039.0,11.0,17.0,2.0,46.0,17427,12823,15150.0,360.0,331.0,29.0,15.0,7.0,3584.0,3384.0,91.0,5699.0,5424.0,144.0
